Time,SF,BA
2014-04-01 00:00:00,178,134
2014-04-01 01:00:00,161,116
2014-04-01 02:00:00,150,107
2014-04-01 03:00:00,140,98
2014-04-01 04:00:00,130,101
2014-04-01 05:00:00,132,134
2014-04-01 06:00:00,170,158
2014-04-01 07:00:00,190,172
2014-04-01 08:00:00,199,171
2014-04-01 09:00:00,195,156
2014-04-01 10:00:00,175,132
2014-04-01 11:00:00,155,112
2014-04-01 12:00:00,139,99
2014-04-01 13:00:00,127,87
2014-04-01 14:00:00,116,74
2014-04-01 15:00:00,107,66
2014-04-01 16:00:00,102,72
2014-04-01 17:00:00,110,119
2014-04-01 18:00:00,162,162
2014-04-01 19:00:00,202,190
2014-04-01 20:00:00,220,205
2014-04-01 21:00:00,235,217
2014-04-01 22:00:00,244,217
2014-04-01 23:00:00,245,211
2014-04-02 00:00:00,233,187
2014-04-02 01:00:00,208,159
2014-04-02 02:00:00,184,135
2014-04-02 03:00:00,164,123
2014-04-02 04:00:00,149,105
2014-04-02 05:00:00,139,116
2014-04-02 06:00:00,147,145
2014-04-02 07:00:00,184,170
2014-04-02 08:00:00,205,182
2014-04-02 09:00:00,214,184
2014-04-02 10:00:00,216,171
2014-04-02 11:00:00,191,151
2014-04-02 12:00:00,171,134
2014-04-02 13:00:00,158,117
2014-04-02 14:00:00,143,98
2014-04-02 15:00:00,126,80
2014-04-02 16:00:00,114,69
2014-04-02 17:00:00,105,63
2014-04-02 18:00:00,98,80
2014-04-02 19:00:00,109,124
2014-04-02 20:00:00,161,147
2014-04-02 21:00:00,181,161
2014-04-02 22:00:00,191,166
2014-04-02 23:00:00,191,161
2014-04-03 00:00:00,183,148
2014-04-03 01:00:00,171,133
2014-04-03 02:00:00,156,120
2014-04-03 03:00:00,142,106
2014-04-03 04:00:00,130,89
2014-04-03 05:00:00,115,79
2014-04-03 06:00:00,104,82
2014-04-03 07:00:00,102,96
2014-04-03 08:00:00,122,120
2014-04-03 09:00:00,152,133
2014-04-03 10:00:00,154,118
2014-04-03 11:00:00,137,102
2014-04-03 12:00:00,123,84
