Year,Country,Apples,Bananas,Citrus,Kiwi,Oranges,Pears,Mandarins
Y1961,Argentina,415000,11649,843600,0,521000,76000,196000
Y1962,Argentina,397000,47250,813000,0,518000,114000,166000
Y1963,Argentina,474000,36380,820800,0,496500,98000,195000
Y1964,Argentina,371000,65500,854200,0,528000,105000,187200
Y1965,Argentina,544000,37000,663000,0,420000,87000,101000
Y1966,Argentina,414000,103760,962000,0,614000,82000,175000
Y1967,Argentina,516000,129616,911400,0,640400,119000,114400
Y1968,Argentina,469600,53360,1079000,0,682000,111800,134000
Y1969,Argentina,436400,140900,1344500,0,820500,102600,217700
Y1970,Argentina,445000,223440,1425257,0,864600,93950,227100
Y1971,Argentina,423900,224800,1597400,0,990000,74300,265100
Y1972,Argentina,512300,312700,1302000,0,750000,97900,226000
Y1973,Argentina,233300,352160,1443670,0,782800,43200,248700
Y1974,Argentina,786000,399400,1546000,0,833000,110000,230000
Y1975,Argentina,608000,373900,1482500,0,729000,97200,229500
Y1976,Argentina,576500,277500,1399000,0,743000,122800,229000
Y1977,Argentina,820000,220000,1480000,0,740000,160000,250000
Y1978,Argentina,810000,128700,1350000,0,670000,150000,255000
Y1979,Argentina,972000,144000,1365000,0,706000,160000,224000
Y1980,Argentina,958000,146200,1642000,0,704000,155000,378000
Y1981,Argentina,908000,77000,1614000,0,668000,130000,387000
Y1982,Argentina,804000,88700,1540200,0,606000,137500,402600
Y1983,Argentina,817000,126100,1534000,0,639000,176000,391000
Y1984,Argentina,872000,161000,1508000,0,620400,167000,375000
Y1985,Argentina,922400,163400,1711700,0,620800,192500,457200
Y1986,Argentina,593900,190000,1719100,0,623200,164900,437000
Y1987,Argentina,1074600,243000,1823300,0,642400,250800,478200
Y1988,Argentina,940000,323600,1804500,0,650200,211200,461700
Y1989,Argentina,847800,209937,1595100,0,680800,223700,458400
Y1990,Argentina,975600,200558,1795960,0,648300,236100,446980
Y1991,Argentina,1067500,194200,2184000,0,773900,297830,550200
Y1992,Argentina,1053500,182680,2178800,0,739000,302810,587200
Y1993,Argentina,951170,181220,2035510,0,708900,319470,517870
Y1994,Argentina,1006300,142190,2306798,0,746576,365000,650276
Y1995,Argentina,1146000,171084,2295468,0,760097,481000,583849
Y1996,Argentina,1219000,117350,1891225,0,504429,484118,419358
Y1997,Argentina,1117690,160800,2761282,0,918461,532538,641292
Y1998,Argentina,1033520,172850,2831193,0,983833,537458,610312
Y1999,Argentina,1116000,175000,2505288,0,706159,536549,551202
Y2000,Argentina,833322,175000,2832462,0,787096,513554,655963
Y2001,Argentina,1428802,174856,3035853,0,918294,585249,700404
Y2002,Argentina,1156830,180000,2953562,0,766854,537297,668687
Y2003,Argentina,1307460,175792,2672493,0,687346,639029,564705
Y2004,Argentina,1262440,175550,2717360,0,770000,589429,430000
Y2005,Argentina,1206210,177355,3046985,0,885871,748727,390000
Y2006,Argentina,1100000,181000,3140000,0,990000,750000,440000
Y2007,Argentina,1000000,182000,2770000,0,800000,720000,350000
Y2008,Argentina,950000,180000,2959056,0,942541,740000,410630
Y2009,Argentina,894000,170000,2963283,0,898732,750000,401543
Y2010,Argentina,720000,171233,2559418,0,833486,670000,423737
